 5508.5585    5508.55830   0.00050
 5555.5312    5555.53118   0.00031
 5577.6845    5577.68526   0.00021
 5580.0771    5580.07662   0.00023
 5580.7547    5580.75540   0.00053
 5581.9668    5581.96215   0.00025
 5583.7621    5583.76116   0.00024
 5590.1127    5590.11345   0.00027
 5599.6548    5599.65380   0.00064
 5645.8947    5645.89043   0.00039
 5654.0234    5654.02370   0.00026
 5663.0420    5663.04243   0.00026
 5664.6210    5664.62029   0.00098
 5665.6283    5665.62860   0.00024
 5667.1281    5667.12822   0.00024
 5673.8358    5673.83538   0.00030
 5674.9864    5674.99096   0.00023
 5681.9001    5681.90698   0.00035
 5742.0838    5742.08163   0.00070
 5767.7785    5767.77833   0.00024
 5771.7601    5771.75872   0.00045
 5772.1143    5772.11704   0.00031
 5777.4006    5777.39944   0.00030
 5838.9502    5838.94864   0.00028
 5854.1207    5854.12094   0.00024
 5857.4491    5857.44973   0.00024
 5868.3745    5868.37289   0.00023
 5869.8507    5869.85012   0.00023
 5870.5526    5870.54867   0.00027
 5871.1828    5871.18126   0.00025
 5886.5314    5886.53089   0.00029
 5936.3861    5936.38328   0.00033
 5937.1619    5937.16137   0.00031
 5955.5616    5955.56266   0.00030
 5969.7373    5969.73655   0.00023
 5986.2665    5986.26502   0.00051
 6055.5937    6055.59209   0.00048
 6059.3725    6059.37466   0.00021
 6061.5361    6061.53539   0.00044
 6069.0207    6069.02017   0.00024
 6073.1036    6073.10168   0.00022
 6077.1057    6077.10420   0.00025
 6078.4212    6078.42064   0.00023
 6087.2622    6087.26165   0.00031
 6098.1205    6098.12136   0.00035
 6099.0831    6099.08327   0.00027
 6150.6830    6150.68244   0.00031
 6169.8221    6169.82270   0.00024
 6170.1740    6170.17949   0.00021
 6172.2778    6172.27964   0.00022
 6173.0964    6173.10040   0.00021
 6193.8563    6193.85553   0.00028
 6200.4325    6200.43240   0.00028
 6205.8599    6205.86084   0.00027
 6208.6869    6208.68747   0.00031
 6258.6068    6258.60455   0.00035
 6266.1737    6266.17281   0.00031
 6277.2385    6277.23959   0.00027
 6279.9776    6279.95815   0.02006
 6285.2780    6285.27663   0.00127
 6287.2554    6287.25504   0.00031
 6291.1915    6291.19032   0.00057
 6292.8909    6292.89014   0.00021
 6293.2424    6293.24105   0.00024
 6300.9165    6300.91548   0.00036
 6303.2507    6303.24983   0.00023
 6310.8101    6310.81016   0.00035
 6315.7750    6315.77577   0.00030
 6317.1824    6317.18415   0.00043
 6379.6733    6379.67332   0.00029
 6389.3900    6389.39022   0.00030
 6394.0498    6394.04855   0.00032
 6399.2065    6399.20918   0.00040
 6400.6961    6400.70010   0.00021
 6406.4462    6406.44530   0.00027
 6446.7712    6446.77133   0.00042
 6503.5111    6503.51070   0.00032
 6508.3605    6508.36040   0.00036
 6522.0432    6522.04265   0.00034
 6551.7055    6551.70566   0.00032
 6558.8756    6558.87597   0.00031
 6564.4445    6564.44542   0.00035
 6632.0837    6632.08648   0.00039
 6643.6976    6643.70019   0.00026
 6644.6635    6644.66317   0.00027
 6646.5407    6646.54026   0.00026
 6648.4954    6648.49457   0.00033
 6648.9586    6648.95744   0.00029
 6654.3675    6654.36651   0.00044
 6658.6774    6658.67582   0.00023
 6660.6761    6660.67681   0.00023
 6664.0510    6664.05185   0.00022
 6668.8163    6668.81741   0.00032
 6673.5797    6673.58170   0.00142
 6753.6598    6753.65887   0.00036
 6757.1092    6757.10840   0.00028
