  1   9   4
      3.770446059E+02      2.225952048E-03      2.806084893E-07     -1.013741660E-10      1.152901203E-14
  1   1       1137.515379237        379.810282000
  1   2       1333.761235770        380.307444000
  1   3       1584.140395788        380.945611000
  1   4       2341.010420599        382.838477000
  1   5       2597.310496152        383.467914000
  1   6       2675.575628619        383.657938000
  1   7       2728.687452487        383.787551000
  1   8       2803.624657088        383.969598000
  1   9       3039.670207549        384.540428000
  2   6   4
      3.836858347E+02      2.545435098E-03     -2.990885832E-07      2.095120744E-10     -4.065750015E-14
  2   1        628.681807633        385.213598000
  2   2       1520.154100007        387.382169000
  2   3       1560.705720537        387.486203000
  2   4       2033.622945325        388.691636000
  2   5       2231.868231959        389.197950000
  2   6       2368.871287758        389.541889000
  3   7   4
      3.904942017E+02      2.678077202E-03     -3.311543431E-07      1.709990543E-10     -2.695647245E-14
  3   1        553.930436773        391.902226000
  3   2        828.778969851        392.571947000
  3   3       1157.450497474        393.366144000
  3   4       2183.033361327        395.929976000
  3   5       2500.504312208        396.739246000
  3   6       2730.663625106        397.319662000
  3   7       2781.101095789        397.447744000
  4  23   4
      3.971835956E+02      2.688718600E-03      2.273845112E-08     -1.611224262E-11      1.344083263E-15
  4   1       1084.219422414        400.105800000
  4   2       1114.778717706        400.189316000
  4   3       1306.002301073        400.702140000
  4   4       1350.373556876        400.821038000
  4   5       1381.513642516        400.904934000
  4   6       1510.862092039        401.249519000
  4   7       1561.972774933        401.385758000
  4   8       1722.274174488        401.810663000
  4   9       1760.951859114        401.912902000
  4  10       1873.029198813        402.207774000
  4  11       1976.232786565        402.480275000
  4  12       2058.462276784        402.700805000
  4  13       2205.379917622        403.084198000
  4  14       2405.715933657        403.604768000
  4  15       2671.280667680        404.289399000
  4  16       2730.762974330        404.441706000
  4  17       2947.420446968        404.994381000
  4  18       3064.802053806        405.292148000
  4  19       3316.451560762        405.925315000
  4  20       3482.705177681        406.340734000
  4  21       3519.852272153        406.433134000
  4  22       3645.687569109        406.745098000
  4  23       3758.936515375        407.023844000
  5  31   4
      4.043748220E+02      2.843488807E-03     -4.961428018E-08      4.481579224E-12     -7.805374198E-16
  5   1        218.690271512        404.994381000
  5   2        324.445007173        405.292148000
  5   3        550.433341306        405.925315000
  5   4        699.447044913        406.340734000
  5   5        732.735185770        406.433134000
  5   6        845.207441198        406.745098000
  5   7       1009.921110171        407.200494000
  5   8       1137.399702130        407.550283000
  5   9       1178.420109464        407.662903000
  5  10       1286.156278897        407.957448000
  5  11       1325.971800094        408.068241000
  5  12       1389.372161779        408.238847000
  5  13       1429.240163870        408.346851000
  5  14       1487.312168840        408.504169000
  5  15       1541.798157803        408.652086000
  5  16       1846.997951354        409.474665000
  5  17       1896.687425893        409.607566000
  5  18       1958.956501027        409.774702000
  5  19       2054.279249134        410.034139000
  5  20       2139.898216745        410.261733000
  5  21       2264.249757710        410.591154000
  5  22       2358.938059215        410.841999000
  5  23       2393.153748482        410.932385000
  5  24       2523.779897204        411.275454000
  5  25       2638.211021606        411.575876000
  5  26       2674.826463339        411.671320000
  5  27       3087.376866829        412.741044000
  5  28       3255.644822373        413.172332000
  5  29       3295.381874179        413.275302000
  5  30       3347.531804083        413.407106000
  5  31       3688.946279218        414.270123000
  6  25   4
      4.118877540E+02      2.887673982E-03     -4.418506394E-08      2.409646755E-12     -5.414668505E-16
  6   1        297.049684211        412.741044000
  6   2        448.057764020        413.172332000
  6   3        483.581203142        413.275302000
  6   4        530.424668986        413.407106000
  6   5        834.995726835        414.270123000
  6   6        868.847776315        414.364878000
  6   7       1030.185847459        414.818137000
  6   8       1403.875869391        415.859044000
  6   9       1606.377158785        416.418033000
  6  10       1664.079516797        416.576641000
  6  11       1768.475788587        416.863283000
  6  12       1837.958571651        417.053195000
  6  13       2112.893085776        417.805924000
  6  14       2254.306651998        418.188383000
  6  15       2583.571581372        419.071300000
  6  16       2670.138188666        419.301636000
  6  17       2742.383311151        419.493574000
  6  18       2870.129191163        419.831668000
  6  19       2959.587777135        420.067454000
  6  20       3273.351598960        420.888743000
  6  21       3351.759231474        421.092313000
  6  22       3434.743416593        421.306738000
  6  23       3502.959073337        421.482838000
  6  24       3652.363330307        421.866520000
  6  25       3707.287840860        422.006882000
  7  14   4
      4.179849887E+02      5.733200988E-03     -1.772897284E-06      4.788964668E-10     -4.997898386E-14
  7   1        247.342559321        419.301636000
  7   2        752.355925415        421.482838000
  7   3       1871.391543689        425.031664000
  7   4       1902.624285884        425.118518000
  7   5       1987.410662550        425.353882000
  7   6       2047.794231074        425.523699000
  7   7       2083.637799960        425.625389000
  7   8       2128.761327524        425.749609000
  7   9       2196.465635615        425.936182000
  7  10       2231.624654448        426.033282000
  7  11       2583.414200017        426.994248000
  7  12       2665.612881224        427.216888000
  7  13       2709.520169113        427.335715000
  7  14       2776.235449050        427.516072000
  8  34   4
      4.277821898E+02      2.959734439E-03     -2.031875024E-08     -4.755666347E-12      1.671873367E-16
  8   1        757.863018033        430.010080000
  8   2        923.617411372        430.495619000
  8   3       1000.021787353        430.717631000
  8   4       1200.597605289        431.299285000
  8   5       1246.261541569        431.431853000
  8   6       1278.939032090        431.525435000
  8   7       1448.382568764        432.012636000
  8   8       1628.081780836        432.527282000
  8   9       1755.988497288        432.891500000
  8  10       1836.435276754        433.119990000
  8  11       1865.671120860        433.203000000
  8  12       1919.771864585        433.356094000
  8  13       1982.645481229        433.533774000
  8  14       2178.421935926        434.089577000
  8  15       2233.461720619        434.244395000
  8  16       2330.921792381        434.516818000
  8  17       2376.322132637        434.643418000
