 0 3758.0460    0.0287    1.6763
 1 3835.5754    0.0251    0.0677
 2 3902.3666    0.0260    0.0768
 3 3973.5914    0.0259    0.0958
 4 4046.7952    0.0261    0.0705
 5 4120.5878    0.0271    0.0322
 6 4198.5295    0.0276    0.1186
 7 4281.3027    0.0274    0.0000
 8 4362.9030    0.0290    0.0347
 9 4450.5161    0.0293    0.2918
10 4541.1362    0.0302    0.0465
11 4635.5825    0.0307    0.2703
12 4734.2181    0.0316    0.0835
13 4837.9410    0.0318    0.1436
14 4894.8191    0.0418   13.7976
15 5057.6488    0.0333    0.3295
16 5174.0592    0.0346    0.6311
17 5297.6061    0.0349    0.3758
18 5425.9478    0.0365    0.6151
19 5547.6165    0.0321    2.5738
20 5704.1388    0.0381    0.3781
21 5855.8021    0.0382    0.3125
22 6012.3753    0.0401    0.4170
23 6178.7778    0.0415    0.1261
24 6356.1670    0.0420    0.0272
25 8803.1595   -1.7241 1794.7322
26 6722.6425    0.0506    0.0000
