       1      19       4
       3779.5279     0.053273450  -2.2360868e-06   2.7484212e-10  -9.5162243e-14
     0.049941680   0.00033671439   5.2102758e-07   3.8313583e-10   1.2959110e-13
       1       1       668.79236       381.42198
       1       2       776.71028       381.96511
       1       3       793.93787       382.05140
       1       4       865.84078       382.41028
       1       5       977.95324       382.96583
       1       6       1020.0969       383.17338
       1       7       1301.4034       384.54038
       1       8       1367.1392       384.85506
       1       9       1404.6113       385.03360
       1      10       1427.1394       385.14064
       1      11       1442.0238       385.21124
       1      12       1451.0455       385.25398
       1      13       1508.8191       385.52682
       1      14       1522.4368       385.59092
       1      15       1601.0000       385.95898
       1      16       1630.5153       386.09651
       1      17       1663.0643       386.24768
       1      18       1748.0385       386.63988
       1      19       1751.7421       386.65689
       2      24       4
       3838.2885     0.054054335  -2.2360868e-06   2.7484212e-10  -9.5162243e-14
     0.049941680   0.00033671439   5.2102758e-07   3.8313583e-10   1.2959110e-13
       2       1       316.16876       385.51631
       2       2       729.09727       387.65904
       2       3       739.60606       387.71270
       2       4       748.96642       387.76046
       2       5       754.94201       387.79094
       2       6       761.93076       387.82656
       2       7       770.06809       387.86801
       2       8       782.16667       387.92959
       2       9       797.90984       388.00965
       2      10       977.18696       388.91442
       2      11       1005.9011       389.05816
       2      12       1018.7069       389.12216
       2      13       1107.2184       389.56273
       2      14       1118.7839       389.62006
       2      15       1172.1364       389.88384
       2      16       1187.3043       389.95862
       2      17       1248.0045       390.25692
       2      18       1259.8643       390.31503
       2      19       1276.8333       390.39806
       2      20       1291.4237       390.46936
       2      21       1534.1143       391.64167
       2      22       1586.8067       391.89268
       2      23       1629.9265       392.09711
       2      24       1710.9977       392.47903
       3      16       4
       3902.7592     0.054892876  -2.2360868e-06   2.7484212e-10  -9.5162243e-14
     0.049941680   0.00033671439   5.2102758e-07   3.8313583e-10   1.2959110e-13
       3       1       278.88048       391.78992
       3       2       416.02727       392.52260
       3       3       580.52700       393.39153
       3       4       1013.8953       395.63020
       3       5       1028.1129       395.70240
       3       6       1043.2941       395.77940
       3       7       1076.5593       395.94781
       3       8       1094.4130       396.03801
       3       9       1155.1529       396.34392
       3      10       1253.1269       396.83417
       3      11       1284.9167       396.99238
       3      12       1347.3273       397.30173
       3      13       1356.9633       397.34934
       3      14       1368.1184       397.40441
       3      15       1393.3997       397.52902
       3      16       1399.1050       397.55710
       4      44       4
       3971.4565     0.055789072  -2.2360868e-06   2.7484212e-10  -9.5162243e-14
     0.049941680   0.00033671439   5.2102758e-07   3.8313583e-10   1.2959110e-13
       4       1       349.31711       399.06821
       4       2       378.01278       399.22389
       4       3       423.92471       399.47229
       4       4       428.20430       399.49540
       4       5       543.97316       400.11785
       4       6       559.54817       400.20119
       4       7       618.90850       400.51795
       4       8       623.90998       400.54458
       4       9       677.06138       400.82694
       4      10       692.62960       400.90944
       4      11       733.29137       401.12447
       4      12       743.07414       401.17610
       4      13       757.31448       401.25120
       4      14       782.92484       401.38607
       4      15       799.05193       401.47086
       4      16       895.76521       401.97725
       4      17       990.06595       402.46748
       4      18       1032.1525       402.68514
       4      19       1085.9948       402.96256
       4      20       1095.0175       403.00894
       4      21       1105.6294       403.06344
       4      22       1162.6546       403.35554
       4      23       1194.4419       403.51778
       4      24       1205.8623       403.57597
       4      25       1215.8543       403.62683
       4      26       1247.9881       403.79014
       4      27       1259.1014       403.84651
       4      28       1279.8653       403.95171
       4      29       1305.8089       404.08288
       4      30       1338.6658       404.24861
       4      31       1348.4554       404.29789
       4      32       1368.3318       404.39783
       4      33       1392.9392       404.52132
       4      34       1398.7149       404.55027
       4      35       1428.3188       404.69841
       4      36       1444.3065       404.77825
       4      37       1476.8330       404.94033
       4      38       1495.3650       405.03246
       4      39       1500.0731       405.05584
       4      40       1535.3940       405.23093
       4      41       1547.5152       405.29088
       4      42       1567.1580       405.38789
       4      43       1661.2185       405.84988
       4      44       1744.4129       406.25491
       5      26       4
       4043.5459     0.056742924  -2.2360868e-06   2.7484212e-10  -9.5162243e-14
     0.049941680   0.00033671439   5.2102758e-07   3.8313583e-10   1.2959110e-13
       5       1       164.07894       405.27971
       5       2       351.60737       406.32311
       5       3       456.02178       406.89788
       5       4       506.82464       407.17597
       5       5       513.74218       407.21376
       5       6       570.59237       407.52359
       5       7       591.08362       407.63496
       5       8       596.85744       407.66631
       5       9       644.98317       407.92712
       5      10       664.90558       408.03482
       5      11       696.67442       408.20624
       5      12       925.44546       409.42913
       5      13       970.28537       409.66642
       5      14       981.45108       409.72539
       5      15       1030.0579       409.98151
       5      16       1096.9493       410.33243
       5      17       1182.4059       410.77811
       5      18       1199.5649       410.86724
       5      19       1228.1606       411.01551
       5      20       1264.9008       411.20550
       5      21       1322.1018       411.50016
       5      22       1340.4624       411.59445
       5      23       1546.8008       412.64382
       5      24       1570.7242       412.76424
       5      25       1616.8208       412.99550
       5      26       1630.8794       413.06582
       6      15       4
       4118.6313     0.057754431  -2.2360868e-06   2.7484212e-10  -9.5162243e-14
     0.049941680   0.00033671439   5.2102758e-07   3.8313583e-10   1.2959110e-13
       6       1       225.94070       413.15691
       6       2       658.76472       415.57681
       6       3       703.91218       415.82498
       6       4       805.13989       416.37856
       6       5       834.02399       416.53578
       6       6       921.00253       417.00727
       6       7       1089.8462       417.91403
       6       8       1130.1122       418.12859
       6       9       1274.9209       418.89471
       6      10       1294.8425       418.99943
       6      11       1300.7853       419.03063
       6      12       1438.0918       419.74734
       6      13       1482.8862       419.97935
       6      14       1535.0033       420.24815
       6      15       1639.8413       420.78502
       7      12       4
